filename,width,height,class,xmin,ymin,xmax,ymax
8_jpg.rf.b71e4869e2829b6f742867a1044e143c.jpg,640,640,Cotton Candy,306,200,353,277
8_jpg.rf.b71e4869e2829b6f742867a1044e143c.jpg,640,640,Cotton Candy Tent,144,151,274,325
16_jpg.rf.b4242f190111da88dc7ae4aa5843df09.jpg,640,640,Stall Umbr,157,24,415,545

71_jpg.rf.b92f630d8314463484a06e2cfd378a8e.jpg,640,640,Flowers,20,37,620,610
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,122,130,268,276
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,206,142,363,297
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,304,148,456,320
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,403,159,584,357
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,79,273,219,433
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,127,274,314,472
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,243,309,452,489
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,429,339,568,568
2_jpg.rf.ad5320a6e1c2f940e99d22584b47823a.jpg,640,640,Box of Products,268,435,432,619
29_jpg.rf.b4152f67d9a81c5aec271a97e45573e1.jpg,640,640,Kvas,30,177,395,573
43_jpg.rf.afcdc7bf52a9226e6fe7a722d571d47f.jpg,640,640,Flowers,18,23,604,614
62_jpg.rf.b044ce012dbbbcb482ab62614887a821.jpg,640,640,Flowers,0,141,613,540
36_jpeg.rf.b933b3056546d74317986c07d384b3ca.jpg,640,640,Cotton Candy Tent,21,183,235,360
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,336,438,454,613
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,451,382,550,554
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,290,399,404,542
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,394,371,491,452
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,359,351,450,422
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,437,283,529,384
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,404,277,477,361
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,374,262,445,330
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,266,363,362,485
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,237,362,319,468
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,347,235,415,309
35_jpg.rf.b32a846ce29e7a096720a8d313aceaac.jpg,640,640,Box of Products,324,240,385,302
